0,Word,Definition,Example,Weight,Quiz_Marked,Hangman_Marked
52,spendthrift,"someone who spends money in an extravagant, irresponsible way",She spent all her money in parties and shopping unnecessary items. What a spendthrift!,7,false,false
53,austere,strict in manner; lack of comfort or luxuries,the austere interior of his room clearly reflects his priorities in life,5,false,false
54,didactic,intended to teach; instructive,They insisted that all the problems in the interview were didactic. But it still felt like free work to me,9,false,false
55,taciturn,reserved or uncommunicative,No company would want to have a taciturn employee. They could seriously hamper the efficiency of a whole group.,8,false,false
56,quixotic,extremely idealistic; unrealistic and impractical,The idea of reaching the moon was considered quixotic just about a century ago.,9,false,false
57,puerile,silly and immature,her puerile nature of fighting over smaller things was why they broke up,8,false,false
58,placate,make someone less angry or hostile,the police's attempt to placate the protestors backfired,8,false,false
59,cursory,hasty and not thorough and detailed,Many people including myself make the mistake of going through the passage cursorily,6,false,false
60,amorphous,without definitive shape or form ,the moon formed an amorphous reflection on the surface of the lake,5,false,false
61,abound,large in quantity,the hospitals were abound with people after the government declared free vaccination,6,false,false
62,misanthrope,someone who dislikes humankind,"it wouldn't be inappropriate to call Chris a misanthrope. After all, he desired to live alone in the wild",6,false,false
63,homogeneous,similar in kind; alike,"with all these migrations, people of Kathmandu are getting less and less homogeneous every year",8,false,false
64,conspicuous,clearly visible; obvious,it was conspicuous that Sharon had no intentions to return the money she had lent,6,false,false
65,belie,fail to fulfill or justify (a claim or expectation); hide something ,the statement that he loved his wife is belied by the torture he used to give her,8,false,false
66,disseminate,"spread (something, especially information) widely",The CEO was aware that his speech would disseminate across the news channels,7,false,false
67,acumen,the ability to perceive things deeply and accurately,"Lindsey's academics was also backed up by her acumen, which did not fail to impress the interviewers",9,false,false
68,enthrall,catch attention; captivate,Her blue eyes were enough to enthrall a man,7,false,false
69,decadent,characterized by excessive self-indulgence and moral decay; sinful,Richard was determined that he did not want the decadent life his father's will had left him,8,false,false
70,accentuate,to make something more conspicuous or noticeable,The rain actually accentuates the smell of a cigarette,8,false,false
71,abstain,to refrain oneself from doing something,the fact that so many people abstained from voting proves how less we trust these politicians,8,false,false
72,boorish,bad mannered; rude,Samantha didn't want her daughter to be raised among such boorish children,7,false,false
73,cherish,to value something greatly,my father has a few cherished memories of the time I grew up,7,false,false
74,corroborate,to validate or confirm a statement,without the witness there is no way to corroborate the charges against him,7,false,false
75,besmirch,to attack someone's reputation with false charge,he claims to have been besmirched,8,false,false
76,appease,decrease a feeling; placate,the pigs would be enough to appease the beast's hunger,7,false,false
77,admonishment,strong warning,"Global warming, a clear admonishment from nature to human kind",8,false,false
78,condescending,having or showing an attitude of superiority,she thought that the teachers were arrogant and condescending,8,false,false
79,sycophantic,overly flattering; servile,the CEO was surrounded by sycophantic people,7,false,false
80,novelty,quality of being new or original,the novelty of being a married woman wore off,5,false,false
81,urbane,courteous; well mannered; sophisticated,they are charming and urbane,8,false,false
82,cynical,believing that people are motivated purely by self-interest; distrustful of human sincerity,he was brutally cynical,7,false,false
83,conviction,a firmly held opinion or belief,she takes pride in stating her political convictions,6,false,false
84,diffident,shy; not bold; not excessively large,drink modest amounts of alcohol,5,false,false
85,disinterested,impartial or unbiased; dispassionate,the judge must always work in a disinterested manner,9,false,false
86,fortuitous,occurring by happy chance rather than intentions,missing my trained turned out to be rather fortuitous since I met my childhood friend on the next train,8,false,false
87,indecorous,improper,everyone was shocked when Geil wore the indecorous dress to the church party,6,false,false
88,unseemly,not proper or appropriate,he acted in an unseemly manner,6,false,false
89,polemic,controversy,the polemical decision caused a stir in the community,7,false,false
90,aspiration,hope or ambition of achieving something,the needs and aspirations of people,5,false,false
91,altruism,selfless concern for the well being of others,some may choose to work with vulnerable old people out of altruism,5,false,false
92,concede,to admit; acknowledge,eventually she conceded that she over reacted,5,false,false
93,fickle,given to sudden change; capricious,celebs try to appeal to the increasingly fickle public,7,false,false
94,fanatical,having excessive enthusiasm and devotion to an idea; zealous,her husband was fanatical about cleanliness,8,false,false
95,specious,deceptively pleasing,almost every image on the tv is specious and is not to be trusted,2,true,false
96,elusive,difficult to catch or find or remember,success will ever more be elusive,5,false,false
97,elated,ecstatically happy,"after the concert, I felt elated",8,false,false
98,acolyte,assistant or a follower,she runs the department through a small group of acolytes,6,false,false
99,martinet,a strict disciplinarian,Our care taker could not tolerate disobedience. She was a martinet,7,false,false
100,sporadic,occurring at irregular intervals or only a few places,Zambia endured sporadic blackouts when the drought crippled their power generation,6,false,false
101,tyrant,a cruel and oppressive ruler,the tyrant was deposed by popular demonstrations,6,false,false
102,conscience,moral sense of right and wrong,he had a guilty conscience about his desires,6,false,false
103,pervasive,spreading widely through an area or a group of people; rife,"Misinformation, hatred and offense are pervasive",5,false,false
104,abridge,shorten; diminish,the introduction is abridged from the author's afterword to the novel,6,false,false
105,circumscribe,restrict within limits,The minister's powers are circumscribed both by tradition and the organization of local government ,5,false,false
106,conform,comply with rules or standards,the kitchen does not conform to hygiene regulations,6,false,false
107,ostentation,excessive display of wealth and luxury,"the office was spacious, but without any display of ostentation",6,false,false
108,singularity,unusual and distinctive nature; peculiarity,she believed in singularity of all traditions,6,false,false
109,adulterate,to render something poorer by adding another substance; degrade,the brewer is said to adulterate his beer,6,false,false
110,advocate,someone who publicly recommends or supports a particular cause or policy,he was untiring advocate of economic reform,6,false,false
111,aggrandize,"increase power, wealth or reputation",Jack is a philanthropist who only supports causes that aggrandize him in the eyes of the world,7,false,false
112,alacrity,liveliness and eagerness,he accepted with alacrity,5,false,false
113,ambivalent,having mixed feelings or contradictory ideas; unsure,"Some loved her, some hated her. I was ambivalent about her",6,false,false
114,ameliorate,make something (bad or unsatisfactory) better,He wanted to ameliorate the present suffering,8,false,false
115,amenable,open and responsive to suggestion; easily persuaded,parents who have amenable children,5,false,false
116,audacious,willingness to take bold risks; showing lack of respect,he made an audacious remark,5,false,false
117,avaricious,having extreme greed for wealth or material gain,He showed indeed none of the avaricious temper so common among the politicians of the time,8,false,false
118,banal,so lacking in originality as to be obvious and boring,"songs with banal, repeated words",5,false,false
119,benign,gentle and kindly,his benign but firm manner,7,false,false
120,brazen,bold and without shame,he went about his illegal business with a brazen assurance,8,false,false
121,calumny,making a false statement to damage someone's reputation; slander,a change in the law would prevent the press from publishing calumny,6,false,false
122,candid,truthful and straightforward; frank,his responses were remarkably candid,5,false,false
123,castigate,criticize or punish someone/something severely,Health inspectors castigated the kitchen staff for poor standards,6,false,false
124,caustic,sarcastic in scathing and bitter way; able to burn or corrode organic tissue by chemical reaction,The players were making caustic comments about the refereeing,5,false,false
125,construe,to interpret or perceive in a particular way,his words could hardly be construed as an apology,6,false,false
126,contrite,feeling or expressing remorse at the recognition that one has done wrong,After the realization she started talking in a contrite tone,7,false,false
127,convoluted,extremely complex and difficult to follow,The movie is let down by a convoluted plot in which nothing really happens,7,false,false
128,covet,greatly desire for something (especially belonging to another),I covet one of their smart bags,6,false,false
129,craven,cowardly,Courage the craven dog,6,false,false
130,decorum,behaviour in keeping with good taste and propriety,he had acted with utmost decorum,6,false,false
131,deft,skillful in physical movement,the magician was quiet deft at his performance,5,false,false
132,demur,raise objection or show reluctance,"normally she would have accepted the challenge, but she demurred",6,false,false
133,derivative,imitative of the work of another; based on another source,an artist who is not in the slightest bit derivative,6,false,false
134,desiccate,remove moisture from something,both the older growth and new vegetation were desiccated by months of relentless sun,6,false,false
135,diatribe,a forceful and bitter verbal attack against someone or something,"In this long diatribe, you began to reveal yourself to me",5,false,false
136,incredulous,unwilling or unable to believe something ,I was incredulous when he told me about the secret,8,false,false
137,ingenuous,innocent and unsuspecting,"he eyed her with wide, ingenuous eyes",7,false,false
138,abate,become less in amount or intensity ,the storm suddenly abated,7,false,false
139,abjure,formally reject or disavow a formerly held belief,He abjured his earlier statements about religion,7,false,false
140,anomalous,"deviating from what is standard, normal or expected",The researchers could not explain the anomalous test results ,7,false,false
141,antipathy,a deep-seated feeling of aversion(dislike),His fundamental antipathy to capitalism,5,false,false
142,arcane,understood by few; mysterious or secret,The elderly teacher had an arcane way of teaching mathematics,5,false,false
143,arduous,involving or requiring strenuous effort; difficult and tiring,She undertook the arduous task of monitoring the elections,6,false,false
144,artless,without effort; natural and simple,"With her artless look, the girl next door looked beautiful even though she had no make-up on and didn't style her hair",9,false,false
145,ascetic,"characterized by severe self-descipline and abstention from all forms of indulgence, typically for religious reasons","an ascetic life of prayer, fasting and manual labour",8,false,false
146,assuage,make (an unpleasant feeling) less intense,The letter assuaged the fears of most members,6,false,false
147,betray,"unintensionally reveal; be evidence of; expose (a person, group, one's country) to danger by treacherously giving information to an enemy",She drew a deep breath that betrayed her indignation,7,false,false
148,bucolic,relating to the pleasant aspects of the country side and country life,The church is lovely for its bucolic setting,6,false,false
149,burgeon,begin to grow or increase rapidly; flourish,"The city's suburbs have burgeoned, sprawling out from the center",6,false,false
150,cacophonous,"involving or producing a harsh, discordant mixture of sounds",the cacophonous sound of slot machines,8,false,false
151,canonize,formally declare (a dead person) to be saint,He was the last English saint to be canonized prior to the Reformation,7,false,false
152,censure,express severe disapproval of (someone or something) especially in a formal statement,the company was heavily censured by inspectors from the Department of Trade,8,false,false
153,chicanery,use of tricks to deceive someone (usually to extract money from them),Let us expose the business of its financial chicanery and reveal how they waste our tax dollars,8,false,false
154,coalesce,come together to form one mass or whole,The puddles have coalesced into shallow streams,9,false,false
155,cogent,"(of an argument or case) clear, logical and convincing ",They put forward cogent arguments for British membership,8,false,false
156,compelling,"evoking interest, attention, or admiration in a powerful irresistable way",The novel was so compelling that I couldn't put it down,7,false,false
157,contend,compete with others in a struggle to achieve something; struggle,Local leaders have more real-world problems to contend with and more power to address them,8,false,false
158,cosmopolitan,including from many different countries; (plant or animal) found all over the world,Immigration transformed the city into a cosmopolitan metropolis,7,false,false
159,deference,polite submission and respect,he addressed her with deference due to age,10,false,false
160,desultory,"lacking plan, purpose or enthusiasm","A few people were left, dancing in a desultory",2,true,false
161,dilatory,slow to act; intended to cause delay,He had been dilatory in appointing a solicitor,8,false,false
162,equivocate,use ambiguous language so as to conceal the truth or avoid commiting oneself,The government has equivocated too often in the past,6,false,false
163,polarize,divide or cause to divide into two sharply contrasting groups or set of opinions or beliefs,public opinion has sharply polarized on the issue,9,false,false
164,verbose,use or expressed in more words than are needed,Much academic language is obscure and verbose,7,false,false
165,discordant,disagreeing or not in harmony,The operating principle of democracy is a balance of discordant qualities,8,false,false
166,incongruous,not in harmony or keeping with the surrounding or other aspects of something,The coat looked incongruous with the black dress she wore underneath,6,false,false
167,frivolous,not having any serious purpose or value,Students who consider test instructions to be frivolous often fail exams.,8,false,false
168,provocative,"causing anger or another strong reaction, especially deliberately","He doesn't really mean that,he's just being deliberately provocative",7,false,false
169,prevail,prove more or superior; widespread,"Even though our troops are tired and hungry, we will prevail against the enemy",7,false,false
170,connoisseur,an expert judge in matters of taste,a connoisseur of music,8,false,false
171,scourage,cause great suffering to,political methods used to scourage and oppress workers,6,false,false
172,provision,providing or supplying something for use,The government is responsible for the provision of education for all the children,7,false,false
173,impunity,freedom from punishment,the impunity enjoyed by military officers implicated in civilian killings,8,false,false
174,ridicule,to laugh at someone in an unkind way,the theory was ridiculed and dismissed,10,false,false
175,promulgate,promote or make widely known,these objectives have to be promulgated within the organization,8,false,false
176,marginalize,treat as insignificant,"by removing religion from the public space, we marginalize it",8,false,false
177,foresight,the ability to predict what will happen or be needed in the future,he had the foresight to check that his escape route was clear,7,false,false
178,prescient,having or showing knowledge of events before they take place,"Her vocabulary may have become archaic, but her stance was prescient and brave",7,false,false
179,serendipitous,occuring or discovered by chance in a happy or beneficial way,It provides the serendipitous opportunity to discover new fonts by just having them fill the page,8,false,false
180,pretension,the claim or belief of being more important or more serious than there is reason for,He spoke about his achievements without pretension,2,true,false
181,blemish,a small flaw that spoils the appearance of something,the girl's hands were without a blemish,10,false,false
182,approbation,approval or praise,A murmur of approbation and satisfaction ran through the crowd.,8,false,false
183,disparate,essentially different in kind; not able to be compared,Chalk and cheese are disparate substances,7,false,false
184,emulate,"match or surpass (a person or achievement), typically by imitation",most rulers wished to emulate Alexander the Great,9,false,false
185,enervate,make (someone) feel drained of energy and vitality,The intense heat enervated us all,8,false,false
186,ephemeral,lasting for a very short time,fashions are ephemeral: new ones regularly drive out the old,8,false,false
187,fervid,"intensely enthusiastic or passionate, especially to an excessive degree",The politician spoke with a fervid intensity that made people want to vote for him,8,false,false
188,garrulous,excessively talkative,"Desperate for peace and quiet, Amanda told the garrulous man sitting next to her to�""Shut up!""",9,false,false
189,incendiary,tending to stir up conflict; designed to cause fires,"All weapons are strictly prohibited from the stadium, from small knives to incendiary devices",9,false,false
190,inimical,tending to obstruct or harm,the policy was inimical to Britain's real interests,9,false,false
191,intimate,state or make known,Mr Hutchison has intimated his decision to retire,8,false,false
192,invigorate,give strength or energy,A brisk walk in the cool morning air always invigorates me,8,false,false
193,mitigate,"make (something bad) less severe, serious, or painful",The doctor gave me medicines to mitigate the pain,8,false,false
194,obsolete,no longer produced or used; out of date,the disposal of old and obsolete machinery,9,false,false
195,opaque,hard or impossible to understand,technical jargon that was opaque to her,5,false,false
196,paradigmatic,serving as a typical example of something,his biography is paradigmatic of the experiences of this generation,10,false,false
197,pedantic,excessively concerned with minor details or rules,"his analyses are careful and even painstaking, but never pedantic",6,false,false
198,placid,"not easily upset or excited; calm and peaceful, with little movement or activity",the placid waters of a small lake,8,false,false
199,polemical,of or involving strongly critical or disputatious writing or speech,A polemical note is sounded in the unsigned preface,8,false,false
200,precipitate,"cause to happen suddenly, unexpectedly or prematurely",the incident precipitated a political crisis,5,false,false
201,profundity,great depth of insight or knowledge,My psychologist's profundity has talked me through some of my darkest moments,8,false,false
202,prudent,acting with or showing care and thought for the future,no prudent money manager would authorize a loan without first knowing its purpose,6,false,false
203,punctilious,showing great attention to detail or correct behaviour,he was punctilious in providing every amenity for his guests,8,false,false
204,recondite,little known; abstruse,the book is full of recondite information,7,false,false
205,scrupulous,"careful thorough, and extremely attentive to details",the research has been carried out with scrupulous attention to detail,6,false,false
206,tranquil,free from disturbance; calm,I am going to bed with a happy and tranquil mind,11,false,false
207,vacillate,waver between different opinions or actions; be indecisive,I vacillated between teaching and journalism,1,true,false
208,aloof,not friendly or forthcoming; cool and distant,they were courteous but faintly aloof,9,false,false
209,clangor,a continuous loud banging or ringing sound,he went deaf because of the clangour of the steam hammers,8,false,false
210,conventional,based on or in accordance with what is generally done or believed,Most food tastes better when it is cooked in a conventional oven,9,false,false
211,debunk,expose the falseness or hollowness of an idea or belief,she debunks all the usual rubbish about acting,9,false,false
212,diminutive,extremely or unusually small,She has diminutive hands for an adult,2,false,true
213,discernible,"able to be recognized, identified or distinguished","Though the differences were often quite subtle, they were still discernible enough by tribesmen",9,false,false
214,enigmatic,difficult to interpret or understand; mysterious,he took the money with an enigmatic smile,10,false,false
215,estranged,no longer close or affectionate to someone,Harriet felt more estranged from her daughter than ever,8,false,false
216,extravagant,lacking restraint in spending money or using resources,The couple lived a very simple life with no need for extravagant purchases,9,false,false
217,fanciful,over-imaginative and unrealistic,"Because she had a wild imagination, she loved to create fanciful stories in her spare time.",3,false,true
218,heterogeneous,diverse in character or content,This consists of a medley of documents of the most heterogeneous character.,8,false,false
219,imperious,arrogant and domineering,The imperious manner of Andros made him many enemies.,2,false,true
220,impertinent,without respect; rude; irrelevent,"I hope you will excuse me for doing what is only my duty, although it may appear impertinent",2,true,true
221,invasive,tending to spread very quickly and undesirably or harmfully,patients suffering from invasive cancer,8,false,false
222,irresolute,showing or feeling hesistancy; uncertain,she stood irresolute outside his door,8,false,false
223,laudable,deserving praise,"laudable though the aim might be, the results have been criticized",3,false,true
224,lax,"not sufficiently strict, severe or careful; relaxed",Never let go of that privacy or be lax with your security,9,false,false
225,panache,flamboyant confidence of style or manner,He entered London society with great panache,9,false,false
226,plodding,slow-moving and unexciting,I could hear my roommate plodding up the steps to our apartment,8,false,false
227,prosaic,lacking imaginativeness or originality; commonplace,A very prosaic explanation of this nocturnal noise is given by Judson,2,false,true
228,remedial,giving or intended as a remedy or cure,Officials have pledged remedial action to repair damaged bridges,9,false,false
229,restive,"unable to remain still, silent, or submissive, especially because of boredom or dissatisfaction",the crowd had been waiting for hours and many were becoming restive,8,false,false
230,stigmatize,describe or regard as worthy of disgrace or great disapproval,the institution was stigmatized as a last resort for the destitute,1,false,true
231,undermine,"lessen the effectiveness, power, or ability of, especially gradually or insidiously",this could undermine years of hard work,8,false,false
232,utterly,completely and without qualification; absolutely,He found the experience utterly humiliating,1,false,true
233,weary,tired,"he gave a long, weary sigh",9,false,false
234,zealous,having great energy or enthusaism in pursuit of a cause or an objective,The police were zealous in their pursuit of the criminals,9,false,false
235,aesthetic,concerned with beauty or the appreciation of beauty,the pictures give great aesthetic pleasure,8,false,false
236,affectation,"behaviour , speech or writing that is pretentious and designed to impress","She's beautiful, truthful, and hilarious, without vanity or affectation , exceptionally clever",2,false,true
237,alleviate,"making (suffering, deficiency or a problem) less severe","he couldn't prevent her pain, only alleviate it",1,false,true
238,analogous,"comparable in certain respects, typically in a way which makes clearer the nature of the things compared","""they saw the relationship between a ruler and his subjects as�analogous to�that of father and children",7,false,false
239,bolster,support or strengthen,the fall in interest rates is starting to bolster confidence,2,false,true
240,chauvinistic,feeling or displaying aggressive or exaggerated patriotism,"The idea was absurd, even for someone as chauvinistic as Romas",4,false,true
241,dissemble,conceal or disguise one's true feelings or beliefs,"an honest, sincere person with no need to dissemble",5,false,false
242,dogged,having or showing tenacity and grim persistence,success required dogged determination,6,false,false
243,dupe,deceive; trick,the newspaper was duped into publishing an untrue story,7,false,false
244,empirical,based on observation or experience rather than theory or pure logic,they provided considerable empirical evidence to support their argument,7,false,false
245,engender,"cause or give rise to (a feeling, situation or condition)",the issue engendered continuing controversy,5,false,false
246,entitiled,believing oneself to be inherently deserving of privileges or special treatment,kids who feel so entitled and think the world will revolve around them,6,false,false
247,pertinacious,holding firmly to an opinion or a course of action,he worked with a pertinacious resistance to interruptions,2,true,false
248,probity,the quality of having strong moral principles; honesty and decency ,He asserted his innocence and his financial probity,3,false,true
249,proliferate,increase rapidly in number; multiply,the science fiction magazines which proliferated in the 1920s,2,false,true
250,spurious,false or fake,separating authentic and spurious claims,2,true,false
251,subjective,"based on or influenced by personal feelings, tastes or opinion",We know that taste in art is a subjective matter,7,false,false
252,subvert,undermine the power and authority of (an established system); overthrow,The rebel army is attempting to subvert the government,7,false,false
253,timorous,nervous or lacking confidence,The vast majority are most likely too timorous or too intimidated to do anything about it,5,false,false
254,tortuous,full of twists and turns; excessively lengthy and complex,the route is remote and tortuous,6,false,false
255,tractable,easy to control or influence,"she has always been tractable and obedient, even as a child",8,false,false
256,transient,lasting only for a short time; impermanent,here is a transient population of thousands of visitors during the year,7,false,false
257,ubiquitous,"present, appearing or found everywhere",his ubiquitous influence was felt by all the family,7,false,false
258,venal,corrupt,local customs officers are notoriously venal,7,false,false
259,venerate,regard with great respect,Robert Burns is Scotland's most venerated poet,6,false,false
260,arbitrary,based on random choice or personal whim; unrestrained and autocratic in the use of authority,Arbitrary arrests and detention without trial were common,6,false,false
261,archaic,very old or old-fashioned,prisons are run on archaic methods,5,false,false
262,clamorous,making a loud and confused noise; expressing or characterized by strong protests or demands,"they were active, and clamorous, and in subtle and not so subtle ways they corrupted the intellectual atmosphere",2,true,false
263,vehement,"showing strong feeling; forceful, passionate, or intense",her voice was low but vehement,2,true,false
264,dearth,a scarcity or lack of something,there is a dearth of evidence,4,false,false
265,explicable,able to be accounted for or understood,His behaviour is explicable in the light of his recent illness,5,false,false
266,hyperbole,exaggerated statements or claims not meant to be taken literally,"During the hurricane, it seemed as though the hyperbole, raining cats and dogs, was almost accurate",7,false,false
267,immutable,unchanging over time or unable to be changed,The actions of men are subject to general immutable laws expressed in statistics,5,false,false
268,indefatigable,persisting tirelessly,an indefatigable defender of human rights,4,false,false
269,indolent,lazy; causing little or no pain,Evidently Peter was determined to tear his son away from a life of indolent ease,7,false,false
270,insular,"ignorant of or unintrested in cultures, ideas or people outside one's own experience","At the moment, I'm a bit insular in my music tastes",5,false,false
271,intransigent,unwilling or refusing to change one's view or to change about something,"her father had tried persuasion, but she was intransigent",4,false,true
272,intrepid,fearless; adventurous,"Our speaker is an experienced, intrepid navigator who has sailed his boat through the Baltic sea to enter the Russian system",6,false,false
273,irreverent,showing a lack of respect for people or things that are generally taken seriously,Taylor combined great knowledge with an irreverent attitude to history,6,false,false
274,loathe,feeling intense dislike or disgust for,"I loathe these horrible roads, but I love the places they take you",4,false,false
275,malign,evil in nature; speak about (someone) in a spitefully critical manner,she had a strong and malign influence,6,false,false
276,malleable,easily influenced,they are as malleable and easily led as sheep,5,false,false
277,neophyte,novice; a new convert to a religion,four-day cooking classes are offered to neophytes and experts,5,false,false
278,plastic,not genuine; artificial or unnatural; easily shaped or moulded,rendering the material more plastic ,5,false,false
279,platitude,"a remark or statement, especially one with a moral content, that has been used too often to be interesting or thoughtful",he masks his disdain for her with platitudes about how she should believe in herself more,5,false,false
280,pristine,in its original condition; unspoilt,pristine copies of an early magazine,4,false,false
281,reproach,express to (someone) one's disapproval of or disappointment in their actions,her friends reproached her for not thinking enough about her family,7,false,false
282,robust,strong and healthy; vigorous; (of wine or food) strong and rich in flavour or smell,No handshake for Julie; she gave each of us a robust hug,5,false,false
283,salubrious,healthy; (of a place) pleasant,odours of far less salubrious origin,6,false,false
284,sanction,a threatened penalty for disobeying a law or rule; official permission of approval for an action,a range of sanctions aimed at deterring insider abuse,5,false,false
285,sedulous,showing dedication and diligence,he watched himself with the most sedulous care,7,false,false
286,soporific,tending to induce drowsiness or sleep,the motion of the train had a somewhat soporific effect,6,false,false
287,stern,"serious and unrelenting, especially in the assertion of authority and exercise of discipline",She issued a stern warning to those who persist in violence,5,false,false
288,tendentious,"expressing or promoting a particular cause or point of view, especially a controversial one",The president was tendentious on his plan for the company and would not listen to other options,4,false,false
289,conjectural,based on incomlete information; spectulative,the evidence was deemed too conjectural,8,false,false
290,convivial,"friendly, lively and enjoyable",she was relaxed and convivial ,7,false,false
291,egregious,outstandingly bad; shocking,The egregious mistake these couples made was not spending enough time seriously planning for a lifetime together in marriage.,2,true,false
292,evanescent,"soon passing out of sight, memory or existence; quickly fading or disappearing","It is of common knowledge that rainbows happen to be evanescent, as they do not stick around for a long period of time.",6,false,false
293,flamboyant,"tending to attract attension because of their exuberance, confidence and stylishness; bright, colorful and very noticeable",the band's flamboyant lead singer,6,false,false
294,forestall,prevent or stop (an anticipated event or action) by taking advance action,he would have spoken but David forestalled him,7,false,false
295,gainsay,deny or contradict (a fact or statement),the impact of the railways cannot be gainsaid,6,false,false
296,galvanize,shock or excite (someone) into taking action; coat with a protective layer of zinc,the urgency of his voice galvanized them into action,6,false,false
297,indiscriminate,done at random or without careful judgement,the indiscriminate use of antibiotics can cause problems,6,false,false
298,innocuous,not harmful or offensive,The conversation was innocuous and she wasn't identified by name,7,false,false
299,momentary,lasting for a very short time; brief,a momentary lapse of concentration,7,false,false
